City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kiama,AU,81.37,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
4,Rikitea,PF,78.01,light rain,-23.1203,-134.9692,People ThankYou
5,Buala,SB,81.93,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
8,Port Alfred,ZA,74.17,scattered clouds,-33.5906,26.891,The Halyards Hotel & Spa
9,Komatipoort,ZA,80.06,scattered clouds,-25.4332,31.9548,Kruger View Backpackers
10,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
12,Salinopolis,BR,76.91,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
14,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
17,Mataura,NZ,81.16,clear sky,-46.1927,168.8643,Ellie's Villa
19,Bobo Dioulasso,BF,70.25,clear sky,11.1771,-4.2979,IBA Hotel
20,Brisbane,AU,80.02,clear sky,-27.4679,153.0281,Royal On The Park Brisbane
22,Cap Malheureux,MU,85.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
24,Saint-Philippe,RE,83.79,moderate rain,-21.3585,55.7679,Le four à pain
25,Hilo,US,73.13,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
26,Ballina,AU,82.78,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
27,Butaritari,KI,81.55,clear sky,3.0707,172.7902,Isles Sunset Lodge
28,Birao,CF,74.17,scattered clouds,10.2849,22.7882,
31,Richards Bay,ZA,79.56,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
33,Hermanus,ZA,76.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
34,Tsaratanana,MG,83.88,broken clouds,-16.7833,47.65,
35,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
37,Carnarvon,AU,85.62,clear sky,-24.8667,113.6333,Hospitality Carnarvon
39,Kapaa,US,75.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
40,Dunedin,NZ,70.29,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
44,Kavieng,PG,81.09,moderate rain,-2.5744,150.7967,Nusa Island Retreat
48,Cayenne,GF,77.04,light rain,4.9333,-52.3333,Hôtel Le Dronmi
49,Sorong,ID,81.18,light rain,-0.8833,131.25,Waigo Splash Hotel
58,Waingapu,ID,77.09,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
60,Tabou,CI,77.56,clear sky,4.423,-7.3528,hotêl doufoulougou
62,Mildura,AU,75.07,clear sky,-34.2,142.15,Mercure Hotel Mildura
68,Cruzeiro Do Sul,BR,72.09,broken clouds,-29.5128,-51.9853,Estrela Palace Hotel
75,Hithadhoo,MV,81.54,broken clouds,-0.6,73.0833,Scoop Guest House
76,Rio Grande,BR,70.56,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
77,Bouar,CF,76.78,clear sky,5.934,15.596,Motel de l'UNITE
78,Mapastepec,MX,73.78,clear sky,15.4333,-92.9,Hotel San Carlos
80,Ilhabela,BR,77.99,moderate rain,-23.7781,-45.3581,Ilha Flat Hotel
81,Kendari,ID,78.15,overcast clouds,-3.945,122.4989,Hotel Wixel
82,Ransang,PH,84.27,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
97,Puerto Ayora,EC,76.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
101,Mahibadhoo,MV,80.22,broken clouds,3.7833,72.9667,Omadhoo Inn
102,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
108,Sola,VU,83.23,overcast clouds,-13.8833,167.55,Leumerus Bungalows
110,Bitung,ID,77.85,moderate rain,1.4451,125.1824,K2 Lembeh
113,Mangan,IN,71.17,scattered clouds,27.5167,88.5333,Hotel Mout View
117,Souillac,MU,84.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
118,Bredasdorp,ZA,74.26,broken clouds,-34.5322,20.0403,Wheatlands Lodge - Bredasdorp
119,Zemio,CF,83.43,broken clouds,5.0314,25.1361,OCHA Office
123,Tura,IN,79.3,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
126,Ulladulla,AU,74.07,clear sky,-35.35,150.4667,Sandpiper Motel
127,Cape Town,ZA,77.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
129,Arraial Do Cabo,BR,74.62,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
133,Sechura,PE,74.1,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
