,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kiama,AU,-34.6833,150.8667,81.37,36,0,14.0,clear sky
1,Bagdarin,RU,54.4333,113.6,9.14,64,0,3.62,clear sky
2,Nikolskoye,RU,59.7035,30.7861,26.78,94,100,7.4,overcast clouds
3,Lebu,CL,-37.6167,-73.65,59.47,80,0,5.19,clear sky
4,Rikitea,PF,-23.1203,-134.9692,78.01,77,100,6.2,light rain
5,Buala,SB,-8.145,159.5921,81.93,80,98,2.26,moderate rain
6,Albany,US,42.6001,-73.9662,-9.36,50,5,4.0,clear sky
7,Punta Arenas,CL,-53.15,-70.9167,51.91,58,0,33.38,clear sky
8,Port Alfred,ZA,-33.5906,26.891,74.17,84,26,5.01,scattered clouds
9,Komatipoort,ZA,-25.4332,31.9548,80.06,61,35,8.21,scattered clouds
10,Vaini,TO,-21.2,-175.2,80.76,89,75,11.5,broken clouds
11,Busselton,AU,-33.65,115.3333,90.03,28,5,9.86,clear sky
12,Salinopolis,BR,-0.6136,-47.3561,76.91,89,56,6.91,broken clouds
13,Igrim,RU,63.1906,64.4162,15.01,92,100,4.85,overcast clouds
14,Padang,ID,-0.9492,100.3543,86.05,66,100,5.88,overcast clouds
15,Perehonivka,UA,48.5355,30.5192,28.72,72,100,5.55,overcast clouds
16,Pisco,PE,-13.7,-76.2167,69.85,94,100,2.3,mist
17,Mataura,NZ,-46.1927,168.8643,81.16,51,1,3.44,clear sky
18,Morgan City,US,29.6994,-91.2068,46.0,70,0,5.75,haze
19,Bobo Dioulasso,BF,11.1771,-4.2979,70.25,23,0,8.05,clear sky
20,Brisbane,AU,-27.4679,153.0281,80.02,73,0,4.61,clear sky
21,Narsaq,GL,60.9167,-46.05,5.22,87,15,8.55,few clouds
22,Cap Malheureux,MU,-19.9842,57.6142,85.46,70,52,5.01,broken clouds
23,Bluff,NZ,-46.6,168.3333,66.69,80,28,7.58,scattered clouds
24,Saint-Philippe,RE,-21.3585,55.7679,83.79,84,82,11.92,moderate rain
25,Hilo,US,19.7297,-155.09,73.13,88,75,4.61,light rain
26,Ballina,AU,-28.8667,153.5667,82.78,77,95,10.2,overcast clouds
27,Butaritari,KI,3.0707,172.7902,81.55,81,10,17.96,clear sky
28,Birao,CF,10.2849,22.7882,74.17,15,36,13.04,scattered clouds
29,Athlone,IE,53.4333,-7.95,45.46,82,100,10.4,overcast clouds
30,Jamestown,US,42.097,-79.2353,11.71,60,100,6.91,mist
31,Richards Bay,ZA,-28.783,32.0377,79.56,70,10,3.36,clear sky
32,Upernavik,GL,72.7868,-56.1549,-14.31,99,100,5.08,overcast clouds
33,Hermanus,ZA,-34.4187,19.2345,76.8,65,0,5.66,clear sky
34,Tsaratanana,MG,-16.7833,47.65,83.88,62,68,5.99,broken clouds
35,Georgetown,MY,5.4112,100.3354,89.53,70,20,9.22,few clouds
36,Sarakhs,IR,36.5449,61.1577,52.21,53,78,0.58,broken clouds
37,Carnarvon,AU,-24.8667,113.6333,85.62,59,4,14.58,clear sky
38,Victoria,HK,22.2855,114.1577,67.96,82,99,8.99,overcast clouds
39,Kapaa,US,22.0752,-159.319,75.18,93,100,19.57,moderate rain
